Organization Name,Org ID,orgTypes_json,orgTypePrimary,geoPrimary,Notes,Primary,2ndry,geoTags_json,nodeTypes_json,nodeTypePrimary,governanceLevels_json,governanceLevelPrimary,functionalDomains_json,functionalDomainPrimary,roleTags_json,rolePrimary,lifelineTags_json,femaLifelinePrimary,url,review_flag,review_note
British Columbia Ministry of Emergency Management and Climate Readiness,BCEMCR,"[""Government""]",Government,British Columbia,"Leads provincial emergency management policy, coordination, and disaster readiness in British Columbia.",,,"[""British Columbia""]","[""Organization""]",Organization,"[""State""]",State,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Other""]",Other,https://www2.gov.bc.ca/gov/content/governments/organizational-structure/ministries-organizations/ministries/emergency-management-and-climate-readiness,,
BC Hydro,BCHydro,"[""Quasi Governmental""]",Quasi Governmental,British Columbia,Operates electric generation and transmission infrastructure essential to resilience and recovery.,,,"[""British Columbia""]","[""Organization""]",Organization,"[""State""]",State,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Infrastructure Operator""]",Infrastructure Operator,"[""Energy""]",Energy,https://www.bchydro.com/,,
British Columbia Ministry of Transportation and Infrastructure,BCTransport,"[""Government""]",Government,British Columbia,"Plans, operates, and maintains provincial transportation infrastructure critical for disaster response and recovery.",,,"[""British Columbia""]","[""Organization""]",Organization,"[""State""]",State,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Policy Maker Regulator""]",Policy Maker Regulator,"[""Transportation""]",Transportation,https://www2.gov.bc.ca/gov/content/governments/organizational-structure/ministries-organizations/ministries/transportation,,
Bear River Band of the Rohnerville Rancheria,BearRiver,"[""Tribal Sovereign""]",Tribal Sovereign,California,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,,"[""California""]","[""Tribe"", ""FirstNation""]",Tribe,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Other""]",Other,"[""Other""]",Other,https://www.bearriverrancheria.org/,,
Port of Bellingham,BellPort,"[""Quasi Governmental""]",Quasi Governmental,Washington,Operates port and transportation infrastructure.,,,"[""Washington""]","[""Organization""]",Organization,"[""Local""]",Local,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Infrastructure Operator""]",Infrastructure Operator,"[""Transportation""]",Transportation,https://www.portofbellingham.com/,,
Big Lagoon Rancheria,BigLagoon,"[""Tribal Sovereign""]",Tribal Sovereign,California,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,,"[""California""]","[""Tribe"", ""FirstNation""]",Tribe,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Other""]",Other,"[""Other""]",Other,https://caltribalfamilies.org/places/big-lagoon-rancheria/,,
Bureau of Land Management,BLM,"[""Government""]",Government,U.S. National,Manages public lands and supports hazard mitigation and emergency response coordination.,,,"[""U.S. National""]","[""Organization""]",Organization,"[""Federal""]",Federal,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Policy Maker Regulator""]",Policy Maker Regulator,"[""Other""]",Other,https://www.blm.gov/,,
Blue Lake Rancheria,BlueLakeRan,"[""Tribal Sovereign""]",Tribal Sovereign,California,Leads tribal and community resilience initiatives including hazard preparedness and emergency planning.,,,"[""California""]","[""Tribe"", ""FirstNation""]",Tribe,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Other""]",Other,"[""Other""]",Other,https://www.bluelakerancheria-nsn.gov/,,
BNSF,BNSF,"[""Private Sector""]",Private Sector,U.S. National,Operates freight rail infrastructure that is critical to regional transportation resilience.,,,"[""U.S. National""]","[""Organization""]",Organization,"[""Private""]",Private,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Infrastructure Operator""]",Infrastructure Operator,"[""Transportation""]",Transportation,https://www.bnsf.com/,,
Boise State University,BoiseState,"[""Academic""]",Academic,U.S. National,"Conducts research and education relevant to hazards, resilience, and emergency management.",,,"[""U.S. National""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Earthquake Science""]",Earthquake Science,"[""Knowledge Provider""]",Knowledge Provider,"[""Other""]",Other,https://www.boisestate.edu/,,
Bonneville Power Administration,BPA,"[""Quasi Governmental""]",Quasi Governmental,PNW Regional,"Operates and markets regional power transmission infrastructure critical to Cascadia resilience.

Review flag: yes

Review note: Placed in quasi_governmental to distinguish operational utility role from core government; some users may expect government.",,,"[""PNW Regional""]","[""Organization""]",Organization,"[""Federal""]",Federal,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Infrastructure Operator""]",Infrastructure Operator,"[""Energy""]",Energy,https://www.bpa.gov/,yes,Placed in quasi_governmental to distinguish operational utility role from core government; some users may expect government.
Burns Paiute Tribe,BurnsPaiute,"[""Tribal Sovereign""]",Tribal Sovereign,Oregon,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,,"[""Oregon""]","[""Tribe"", ""FirstNation""]",Tribe,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Other""]",Other,"[""Other""]",Other,https://burnspaiute-nsn.gov/,,
California Coastal Commission,CACC,"[""Government""]",Government,California,Regulates coastal development and supports hazard mitigation in vulnerable coastal zones.,,,"[""California""]","[""Organization""]",Organization,"[""State""]",State,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Policy Maker Regulator""]",Policy Maker Regulator,"[""Other""]",Other,https://www.coastal.ca.gov/,,
California Department of Water Resources,CADWR,"[""Government""]",Government,California,Manages water infrastructure and flood risk to support resilience and recovery.,,,"[""California""]","[""Organization""]",Organization,"[""State""]",State,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Infrastructure Operator""]",Infrastructure Operator,"[""Water Systems""]",Water Systems,https://water.ca.gov/,,
California State Emergency Alert System,CalAlerts,"[""Coordination Structure""]",Coordination Structure,California,Coordinates statewide public alerting systems for emergency communication.,,,"[""California""]","[""Program""]",Program,"[""Multi""]",Multi,"[""Emergency Management""]",Emergency Management,"[""Messaging Alerts Provider""]",Messaging Alerts Provider,"[""Communications""]",Communications,https://calalerts.org/,,
The California Department of Forestry and Fire Protection,CALFIRE,"[""Government""]",Government,California,"Provides public policy, regulatory, or oversight functions relevant to hazard and resilience work.",,,"[""California""]","[""Organization""]",Organization,"[""State""]",State,"[""Emergency Management""]",Emergency Management,"[""Policy Maker Regulator""]",Policy Maker Regulator,"[""Other""]",Other,https://www.fire.ca.gov/,,
Cal Guard,CalGuard,"[""Government""]",Government,California,"Provides military support for emergency response, including disaster relief and recovery operations.",,,"[""California""]","[""Organization""]",Organization,"[""State""]",State,"[""Emergency Management""]",Emergency Management,"[""Infrastructure Operator""]",Infrastructure Operator,"[""Safety Security""]",Safety Security,https://calguard.ca.gov/,,
California Governor's Office of Emergency Services,CalOES,"[""Government""]",Government,California,"Coordinates statewide emergency preparedness, response, and recovery including earthquake readiness.",,,"[""California""]","[""Organization""]",Organization,"[""State""]",State,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Other""]",Other,https://www.caloes.ca.gov/,,
California Department of Transportation,Caltrans,"[""Government""]",Government,California,"Plans, operates, and maintains state transportation infrastructure important to disaster response and recovery.",,,"[""California""]","[""Organization""]",Organization,"[""State""]",State,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Infrastructure Operator"", ""Policy Maker Regulator""]",Infrastructure Operator,"[""Transportation""]",Transportation,https://dot.ca.gov/,,
California State Parks,CAParks,"[""Government""]",Government,California,"Manages public lands and supports emergency access, evacuation, and recovery operations.",,,"[""California""]","[""Organization""]",Organization,"[""State""]",State,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Infrastructure Operator""]",Infrastructure Operator,"[""Other""]",Other,https://www.parks.ca.gov/,,
Cascadia Coastal Coalition,CascadiaCC,"[""Coordination Structure""]",Coordination Structure,PNW Regional,Coordinates regional collaboration on coastal hazards and resilience strategies.,,,"[""PNW Regional""]","[""Hub""]",Hub,"[""Multi""]",Multi,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Coordination""]",Coordination,"[""Other""]",Other,https://cascadiacoastalcoalition.org/,,
Canadian Broadcasting Corporation and Others,CBC,"[""Media""]",Media,Canada,"Public media organizations providing emergency information and public communication.

Review flag: yes

Review note: Composite entry ('and Others'); consider splitting into specific outlets later.",,,"[""Canada""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Emergency Management""]",Emergency Management,"[""Messaging Alerts Provider""]",Messaging Alerts Provider,"[""Communications""]",Communications,https://www.cbc.ca/news,yes,Composite entry ('and Others'); consider splitting into specific outlets later.
Centro de Servicios Para Campesinos,CdSPC,"[""Nonprofit Community""]",Nonprofit Community,Oregon,,,,"[""Oregon""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Community Resilience""]",Community Resilience,"[""Coordination""]",Coordination,"[""Other""]",Other,,,
"Cedar Lake Research Group, LLC",CedarLake,"[""Private Sector""]",Private Sector,Oregon,,,,"[""Oregon""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Community Resilience""]",Community Resilience,"[""Knowledge Provider""]",Knowledge Provider,"[""Other""]",Other,https://www.cedarlakeresearch.com/,,
Community Emergency Response Teams,CERT,"[""Coordination Structure""]",Coordination Structure,U.S. National,"Coordinates community-level preparedness and response training programs implemented by local jurisdictions.

Review flag: yes

Review note: Program model replicated across jurisdictions rather than a single organization or hub.",,,"[""U.S. National""]","[""Program""]",Program,"[""Multi""]",Multi,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Other""]",Other,https://www.fema.gov/emergency-managers/individuals-communities/preparedness-activities-webinars/community-emergency-response-team,yes,Program model replicated across jurisdictions rather than a single organization or hub.
California Geological Survey,CGS,"[""Government""]",Government,California,"Provides geologic hazard data, mapping, and research to support earthquake risk reduction.",,,"[""California""]","[""Organization""]",Organization,"[""State""]",State,"[""Earthquake Science""]",Earthquake Science,"[""Data Tools Provider""]",Data Tools Provider,"[""Other""]",Other,https://www.conservation.ca.gov/cgs,,
Confederated Tribes of the Chehalis Reservation,Chehalis,"[""Tribal Sovereign""]",Tribal Sovereign,Washington,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,,"[""Washington""]","[""Tribe"", ""FirstNation""]",Tribe,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Other""]",Other,"[""Other""]",Other,https://www.chehalistribe.org/,,
Washington Coastal Hazards Resilience Network,CHRN,"[""Coordination Structure""]",Coordination Structure,Washington,Connects partners and advances coastal hazards research and resilience.,,,"[""Washington""]","[""Hub""]",Hub,"[""Multi""]",Multi,"[""Earthquake Science""]",Earthquake Science,"[""Coordination"", ""Data Tools Provider""]",Coordination,"[""Other""]",Other,https://wacoastalnetwork.com/,,
"Cooperative Institute for Climate, Ocean and Ecosystem Studies",CICOES,"[""Academic""]",Academic,U.S. National,"Contributes research and technical expertise relevant to coastal hazards, ocean systems, and resilience.",,,"[""U.S. National""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Earthquake Science""]",Earthquake Science,"[""Knowledge Provider""]",Knowledge Provider,"[""Other""]",Other,https://cicoes.uw.edu/,,
Clackamas County Disaster Management,ClackamasEM,"[""Government""]",Government,Oregon,"Supports local emergency management and disaster preparedness functions.

Review flag: yes

Review note: Likely government agency rather than nonprofit; confirm classification.",,,"[""Oregon""]","[""Organization""]",Organization,"[""Local""]",Local,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Other""]",Other,https://www.clackamas.us/dm,yes,Likely government agency rather than nonprofit; confirm classification.
Center for Land Surface Hazards,CLaSH,"[""Coordination Structure""]",Coordination Structure,U.S. National,Coordinates research on how Earth-surface processes generate cascading hazards across landscapes.,,,"[""U.S. National""]","[""Hub""]",Hub,"[""Multi""]",Multi,"[""Earthquake Science""]",Earthquake Science,"[""Knowledge Provider"", ""Data Tools Provider""]",Knowledge Provider,"[""Other""]",Other,https://www.geoclash.org/,,
Cascadia Lifelines Program,CLiP,"[""Coordination Structure""]",Coordination Structure,Oregon,Connects stakeholders to improve resilience of critical infrastructure systems.,,,"[""Oregon""]","[""Program""]",Program,"[""Multi""]",Multi,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Coordination"", ""Knowledge Provider"", ""Data Tools Provider""]",Coordination,"[""Other""]",Other,https://cascadia.engineering.oregonstate.edu/,,
Central Lincoln People's Utility District,CLPUD,"[""Quasi Governmental""]",Quasi Governmental,Oregon,Provides electricity services critical to community resilience and recovery.,,,"[""Oregon""]","[""Organization""]",Organization,"[""Local""]",Local,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Infrastructure Operator""]",Infrastructure Operator,"[""Energy"", ""Water Systems""]",Energy,https://www.clpud.org/,,
Cape Meares Community Association (CMCA),CMCA,"[""Nonprofit Community""]",Nonprofit Community,Oregon,,,,"[""Oregon""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Community Resilience""]",Community Resilience,"[""Coordination""]",Coordination,"[""Other""]",Other,,,
Coastal Hazards Organizational Resilience Team,COHORT,"[""Coordination Structure""]",Coordination Structure,Washington,Connects partners and advances research and data sharing related to coastal hazards and resilience.,,,"[""Washington""]","[""Hub""]",Hub,"[""Multi""]",Multi,"[""Earthquake Science""]",Earthquake Science,"[""Coordination"", ""Data Tools Provider""]",Coordination,"[""Other""]",Other,https://wacoastalnetwork.com/cohort/,,
Confederated Tribes of the Colville Reservation,Colville,"[""Tribal Sovereign""]",Tribal Sovereign,Washington,,,,"[""Washington""]","[""Tribe"", ""FirstNation""]",Tribe,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Other""]",Other,"[""Other""]",Other,https://www.colvilletribes.com/,,
Consejo Hispano,ConsejoHisp,"[""Nonprofit Community""]",Nonprofit Community,U.S. National,"Supports community resilience through coordination, advocacy, technical guidance, or direct services.",,,"[""U.S. National""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Community Resilience""]",Community Resilience,"[""Other""]",Other,"[""Other""]",Other,https://consejohispano.org/,,
"Coos County Sheriff's Office, Office of Emergency Management",CoosEM,"[""Government""]",Government,Oregon,"Coordinates county-level emergency preparedness, response, and recovery functions.",,,"[""Oregon""]","[""Organization""]",Organization,"[""Local""]",Local,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Safety Security""]",Safety Security,https://www.co.coos.or.us/sheriff/page/emergency-management,,
Cascadia Coastlines and Peoples Research Hub,CoPesHub,"[""Coordination Structure""]",Coordination Structure,PNW Regional,Facilitates interdisciplinary research on coastal hazards and community resilience.,,,"[""PNW Regional""]","[""Hub""]",Hub,"[""Multi""]",Multi,"[""Earthquake Science""]",Earthquake Science,"[""Coordination""]",Coordination,"[""Other""]",Other,https://cascadiacopeshub.org/,,
Coquille Indian Tribe,Coquille,"[""Tribal Sovereign""]",Tribal Sovereign,Oregon,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,,"[""Oregon""]","[""Tribe"", ""FirstNation""]",Tribe,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Other""]",Other,"[""Other""]",Other,https://www.coquilletribe.org/,,
Colorado State University,COStateU,"[""Academic""]",Academic,U.S. National,"Contributes research, teaching, or technical expertise relevant to earthquake hazards and resilience.",,,"[""U.S. National""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Earthquake Science""]",Earthquake Science,"[""Knowledge Provider""]",Knowledge Provider,"[""Other""]",Other,https://www.colostate.edu/,,
Cow Creek Band of Umpqua Tribe of Indians,CowCreek,"[""Tribal Sovereign""]",Tribal Sovereign,Oregon,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,,"[""Oregon""]","[""Tribe"", ""FirstNation""]",Tribe,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Other""]",Other,"[""Other""]",Other,https://www.cowcreek-nsn.gov/,,
Cowlitz Indian Tribe,Cowlitz,"[""Tribal Sovereign""]",Tribal Sovereign,Washington,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,,"[""Washington""]","[""Tribe"", ""FirstNation""]",Tribe,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Other""]",Other,"[""Other""]",Other,https://www.cowlitz.org/,,
Columbia Pacific Bio-refinery (Global Clatskanie),CPBR,"[""Private Sector""]",Private Sector,PNW Regional,"Operates industrial infrastructure that may be relevant to regional resilience and hazard impacts.

Review flag: yes

Review note: Private industrial facility; classification refined from nonprofit.",,,"[""PNW Regional""]","[""Organization""]",Organization,"[""Private""]",Private,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Other""]",Other,"[""Other""]",Other,https://www.globalp.com/where-we-are/all-terminals/global-clatskanie,yes,Private industrial facility; classification refined from nonprofit.
Cal Poly Humboldt,CPHumboldt,"[""Academic""]",Academic,California,Conducts earthquake and hazard research and supports regional resilience planning.,,,"[""California""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Earthquake Science""]",Earthquake Science,"[""Knowledge Provider""]",Knowledge Provider,"[""Other""]",Other,https://www.humboldt.edu/,,
California Public Utilities Commission,CPUC,"[""Government""]",Government,California,Regulates utilities and ensures continuity of critical services during disasters.,,,"[""California""]","[""Organization""]",Organization,"[""State""]",State,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Policy Maker Regulator""]",Policy Maker Regulator,"[""Energy"", ""Communications""]",Energy,https://www.cpuc.ca.gov/,,
Clark Regional Emergency Services Agency,CRESA,"[""Government""]",Government,Washington,"Provides regional emergency communications and coordination support in Clark County and surrounding jurisdictions.

Review flag: yes

Review note: Intergovernmental regional agency; geographic placement and governance treatment may be revisited.",,,"[""Washington""]","[""Organization""]",Organization,"[""Local""]",Local,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Other""]",Other,https://www.cresa911.org/,yes,Intergovernmental regional agency; geographic placement and governance treatment may be revisited.
Cascadia Region Earthquake Science Center,CRESCENT,"[""Coordination Structure""]",Coordination Structure,PNW Regional,"Supports coordinated earthquake science research and data integration across the Cascadia region.

Review flag: yes

Review note: Recognized acronym CRESCENT used; classification as research coordination hub.",,,"[""PNW Regional""]","[""Hub""]",Hub,"[""Multi""]",Multi,"[""Earthquake Science""]",Earthquake Science,"[""Knowledge Provider"", ""Data Tools Provider""]",Knowledge Provider,"[""Other""]",Other,https://cascadiaquakes.org/,yes,Recognized acronym CRESCENT used; classification as research coordination hub.
Cascadia Region Earthquake Workgroup,CREW,"[""Coordination Structure""]",Coordination Structure,PNW Regional,Connects partners and advances research relevant to hazards and resilience.,,,"[""PNW Regional""]","[""Hub""]",Hub,"[""Multi""]",Multi,"[""Earthquake Science""]",Earthquake Science,"[""Coordination""]",Coordination,"[""Other""]",Other,https://crew.org/,,
Colorado School of Mines,CSM,"[""Academic""]",Academic,U.S. National,"Contributes research, teaching, or technical expertise relevant to earthquake hazards and resilience.",,,"[""U.S. National""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Earthquake Science""]",Earthquake Science,"[""Knowledge Provider""]",Knowledge Provider,"[""Other""]",Other,https://www.mines.edu/,,
California Seismic Safety Commission,CSSC,"[""Government""]",Government,California,Advises on earthquake risk reduction policy and promotes seismic safety statewide.,,,"[""California""]","[""Organization""]",Organization,"[""State""]",State,"[""Emergency Management""]",Emergency Management,"[""Policy Maker Regulator""]",Policy Maker Regulator,"[""Other""]",Other,https://ssc.ca.gov/,,
"Confederated Tribes of the Coos, Lower Umpqua, and Siuslaw",CTCLUSI,"[""Tribal Sovereign""]",Tribal Sovereign,Oregon,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,,"[""Oregon""]","[""Tribe"", ""FirstNation""]",Tribe,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Other""]",Other,"[""Other""]",Other,https://ctclusi.org/,,
"CUNA, Community United of North Arcata/Comunidad Unida del Norte de Arcata",CUNA,"[""Nonprofit Community""]",Nonprofit Community,California,,,,"[""California""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Community Resilience""]",Community Resilience,"[""Other""]",Other,"[""Other""]",Other,https://www.cunacomestogether.com/,,
Oregon Department of Geology and Mineral Industries,DOGAMI,"[""Government""]",Government,Oregon,"Provides geologic hazard data, mapping, and policy support.",,,"[""Oregon""]","[""Organization""]",Organization,"[""State""]",State,"[""Earthquake Science""]",Earthquake Science,"[""Data Tools Provider"", ""Policy Maker Regulator""]",Data Tools Provider,"[""Other""]",Other,https://www.oregon.gov/dogami/,,
EarthScope,EarthScope,"[""Coordination Structure""]",Coordination Structure,U.S. National,"Provides national-scale geophysical instrumentation, data systems, and coordination supporting earthquake and Earth system science.

Review flag: yes

Review note: Functions as a national research infrastructure program/consortium rather than a standalone nonprofit organization.",,,"[""U.S. National""]","[""Program""]",Program,"[""Multi""]",Multi,"[""Earthquake Science""]",Earthquake Science,"[""Knowledge Provider"", ""Data Tools Provider""]",Knowledge Provider,"[""Other""]",Other,https://www.earthscope.org/,yes,Functions as a national research infrastructure program/consortium rather than a standalone nonprofit organization.
Earthquake Country Alliance,ECA,"[""Coordination Structure""]",Coordination Structure,U.S. National,Connects partners and advances public-facing earthquake preparedness and resilience efforts.,,,"[""U.S. National""]","[""Hub""]",Hub,"[""Multi""]",Multi,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Other""]",Other,https://www.earthquakecountry.org/,,
Edison Electric Institute,EEI,"[""Private Sector""]",Private Sector,U.S. National,"Supports electric utility coordination, policy, and knowledge sharing relevant to resilience.",,,"[""U.S. National""]","[""Organization""]",Organization,"[""Private""]",Private,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Coordination"", ""Knowledge Provider""]",Coordination,"[""Energy""]",Energy,https://www.eei.org/,,
Earthquake Engineering Research Institute,EERI,"[""Nonprofit Community""]",Nonprofit Community,U.S. National,"Connects researchers and practitioners to advance earthquake engineering, policy, and resilience practice.",,,"[""U.S. National""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Earthquake Science""]",Earthquake Science,"[""Knowledge Provider"", ""Coordination""]",Knowledge Provider,"[""Other""]",Other,https://www.eeri.org/,,
Elk Valley Rancheria,ElkValley,"[""Tribal Sovereign""]",Tribal Sovereign,California,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,,"[""California""]","[""Tribe"", ""FirstNation""]",Tribe,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Other""]",Other,"[""Other""]",Other,https://elk-valley.com/,,
Emergency Management Cowichan,EMCowichan,"[""Government""]",Government,British Columbia,Coordinates local emergency preparedness and response for the Cowichan region in British Columbia.,,,"[""British Columbia""]","[""Organization""]",Organization,"[""Local""]",Local,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Other""]",Other,https://emcowichan.ca/,,
Environmental Protection Agency,EPA,"[""Government""]",Government,U.S. National,Regulates environmental systems and supports disaster-related environmental response and recovery.,,,"[""U.S. National""]","[""Organization""]",Organization,"[""Federal""]",Federal,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Policy Maker Regulator""]",Policy Maker Regulator,"[""Other""]",Other,https://www.epa.gov/,,
