Organization Name,Org ID,orgTypes_json,orgTypePrimary,geoPrimary,Notes,Primary,2ndry,geoTags_json,nodeTypes_json,nodeTypePrimary,governanceLevels_json,governanceLevelPrimary,functionalDomains_json,functionalDomainPrimary,roleTags_json,rolePrimary,lifelineTags_json,femaLifelinePrimary,url,review_flag,review_note
Bonneville Power Administration,BPA,"[""Quasi Governmental""]",Quasi Governmental,PNW Regional,"Operates and markets regional power transmission infrastructure critical to Cascadia resilience.

Review flag: yes

Review note: Placed in quasi_governmental to distinguish operational utility role from core government; some users may expect government.",,https://www.bpa.gov/contact,"[""PNW Regional""]","[""Organization""]",Organization,"[""Federal""]",Federal,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Infrastructure Operator""]",Infrastructure Operator,"[""Energy""]",Energy,https://www.bpa.gov/,yes,Placed in quasi_governmental to distinguish operational utility role from core government; some users may expect government.
British Columbia Ministry of Emergency Management and Climate Readiness,BCEMCR,"[""Government""]",Government,British Columbia,"Leads provincial emergency management policy, coordination, and disaster readiness in British Columbia.",,https://www2.gov.bc.ca/gov/content/safety/emergency-management/contact,"[""British Columbia""]","[""Organization""]",Organization,"[""State""]",State,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Unknown""]",Unknown,https://www2.gov.bc.ca/gov/content/safety/emergency-management,,
British Columbia Ministry of Transportation and Infrastructure,BCTransport,"[""Government""]",Government,British Columbia,"Plans, operates, and maintains provincial transportation infrastructure critical for disaster response and recovery.",Ministry of Transportation and Infrastructure – Emergency Management / Operations,https://www2.gov.bc.ca/gov/content/transportation/passenger-travel/emergency-management,"[""British Columbia""]","[""Organization""]",Organization,"[""State""]",State,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Policy Maker Regulator""]",Policy Maker Regulator,"[""Transportation""]",Transportation,https://www2.gov.bc.ca/gov/content/transportation,,
"British Columbia Ministry of Water, Land and Resource Stewardship - GeoBC",GeoBC,"[""Government""]",Government,British Columbia,Provides geospatial data and hazard information to support risk assessment and planning.,GeoBC Program,https://www2.gov.bc.ca/gov/content/data/geographic-data-services/contact-us,"[""British Columbia""]","[""Organization""]",Organization,"[""State""]",State,"[""Earthquake Science""]",Earthquake Science,"[""Data Tools Provider""]",Data Tools Provider,"[""Unknown""]",Unknown,https://www2.gov.bc.ca/gov/content/data/geographic-data-services,,
Bureau of Land Management,BLM,"[""Government""]",Government,U.S. Federal,Manages public lands and supports hazard mitigation and emergency response coordination.,Public Safety and Fire Program,https://www.blm.gov/contact,"[""U.S. Federal""]","[""Organization""]",Organization,"[""Federal""]",Federal,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Policy Maker Regulator""]",Policy Maker Regulator,"[""Unknown""]",Unknown,https://www.blm.gov/programs/public-safety-and-fire,,
Cal Guard,CalGuard,"[""Government""]",Government,California,"Provides military support for emergency response, including disaster relief and recovery operations.",Emergency Response / Disaster Support Operations,https://calguard.ca.gov/contact/,"[""California""]","[""Organization""]",Organization,"[""State""]",State,"[""Emergency Management""]",Emergency Management,"[""Infrastructure Operator""]",Infrastructure Operator,"[""Safety Security""]",Safety Security,https://calguard.ca.gov/,,
Cal Poly Humboldt,CPHumboldt,"[""Academic""]",Academic,California,Conducts earthquake and hazard research and supports regional resilience planning.,Earthquake Research Institute / Program,https://earthquake.humboldt.edu/contact,"[""California""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Earthquake Science""]",Earthquake Science,"[""Knowledge Provider""]",Knowledge Provider,"[""Unknown""]",Unknown,https://earthquake.humboldt.edu/,,
California Coastal Commission,CACC,"[""Government""]",Government,California,Regulates coastal development and supports hazard mitigation in vulnerable coastal zones.,Coastal Planning and Permitting Division,https://www.coastal.ca.gov/contact/,"[""California""]","[""Organization""]",Organization,"[""State""]",State,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Policy Maker Regulator""]",Policy Maker Regulator,"[""Unknown""]",Unknown,https://www.coastal.ca.gov/,,
California Department of Transportation,Caltrans,"[""Government""]",Government,California,"Plans, operates, and maintains state transportation infrastructure important to disaster response and recovery.",,https://dot.ca.gov/contact-us,"[""California""]","[""Organization""]",Organization,"[""State""]",State,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Infrastructure Operator"", ""Policy Maker Regulator""]",Infrastructure Operator,"[""Transportation""]",Transportation,https://dot.ca.gov/,,
California Department of Water Resources,CADWR,"[""Government""]",Government,California,Manages water infrastructure and flood risk to support resilience and recovery.,Flood Management Division,https://water.ca.gov/contact,"[""California""]","[""Organization""]",Organization,"[""State""]",State,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Infrastructure Operator""]",Infrastructure Operator,"[""Water Systems""]",Water Systems,https://water.ca.gov/,,
California Geological Survey,CGS,"[""Government""]",Government,California,"Provides geologic hazard data, mapping, and research to support earthquake risk reduction.",,https://www.conservation.ca.gov/cgs/Pages/Contact-Us.aspx,"[""California""]","[""Organization""]",Organization,"[""State""]",State,"[""Earthquake Science""]",Earthquake Science,"[""Data Tools Provider""]",Data Tools Provider,"[""Unknown""]",Unknown,https://www.conservation.ca.gov/cgs,,
California Governor's Office of Emergency Services,CalOES,"[""Government""]",Government,California,"Coordinates statewide emergency preparedness, response, and recovery including earthquake readiness.",,https://www.caloes.ca.gov/contact-us/,"[""California""]","[""Organization""]",Organization,"[""State""]",State,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Unknown""]",Unknown,https://www.caloes.ca.gov/,,
California Public Utilities Commission,CPUC,"[""Government""]",Government,California,Regulates utilities and ensures continuity of critical services during disasters.,Safety and Enforcement Division / Emergency Preparedness,https://www.cpuc.ca.gov/contact-us,"[""California""]","[""Organization""]",Organization,"[""State""]",State,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Policy Maker Regulator""]",Policy Maker Regulator,"[""Energy"", ""Communications""]",Energy,https://www.cpuc.ca.gov/,,
California Seismic Safety Commission,CSSC,"[""Government""]",Government,California,Advises on earthquake risk reduction policy and promotes seismic safety statewide.,Seismic Safety Commission Office,https://ssc.ca.gov/contact-us/,"[""California""]","[""Organization""]",Organization,"[""State""]",State,"[""Emergency Management""]",Emergency Management,"[""Policy Maker Regulator""]",Policy Maker Regulator,"[""Unknown""]",Unknown,https://ssc.ca.gov/,,
California State Emergency Alert System,CalAlerts,"[""Coordination Structure""]",Coordination Structure,California,Coordinates statewide public alerting systems for emergency communication.,California Alerting Program (Cal OES),https://calalerts.org/contact/,"[""California""]","[""Program""]",Program,"[""Multi""]",Multi,"[""Emergency Management""]",Emergency Management,"[""Messaging Alerts Provider""]",Messaging Alerts Provider,"[""Communications""]",Communications,https://calalerts.org/,,
California State Parks,CAParks,"[""Government""]",Government,California,"Manages public lands and supports emergency access, evacuation, and recovery operations.",Public Safety / Emergency Operations,https://www.parks.ca.gov/?page_id=21304,"[""California""]","[""Organization""]",Organization,"[""State""]",State,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Infrastructure Operator""]",Infrastructure Operator,"[""Unknown""]",Unknown,https://www.parks.ca.gov/,,
Canadian Broadcasting Corporation and Others,CBC,"[""Media""]",Media,Canada,"Public media organizations providing emergency information and public communication.

Review flag: yes

Review note: Composite entry ('and Others'); consider splitting into specific outlets later.",News and Public Information Services,https://cbc.radio-canada.ca/en/contact-us,"[""Canada""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Emergency Management""]",Emergency Management,"[""Messaging Alerts Provider""]",Messaging Alerts Provider,"[""Communications""]",Communications,https://www.cbc.ca/news,yes,Composite entry ('and Others'); consider splitting into specific outlets later.
Cascadia Coastal Coalition,CascadiaCC,"[""Coordination Structure""]",Coordination Structure,PNW Regional,Coordinates regional collaboration on coastal hazards and resilience strategies.,Coalition Coordination Team,https://cascadiacoastalcoalition.org/contact/,"[""PNW Regional""]","[""Hub""]",Hub,"[""Multi""]",Multi,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Coordination""]",Coordination,"[""Unknown""]",Unknown,https://cascadiacoastalcoalition.org/,,
Cascadia Coastlines and Peoples Research Hub,CoPesHub,"[""Coordination Structure""]",Coordination Structure,PNW Regional,Facilitates interdisciplinary research on coastal hazards and community resilience.,Research Hub Coordination Team,https://cascadiacoastlines.org/contact/,"[""PNW Regional""]","[""Hub""]",Hub,"[""Multi""]",Multi,"[""Earthquake Science""]",Earthquake Science,"[""Coordination""]",Coordination,"[""Unknown""]",Unknown,https://cascadiacoastlines.org/,,
Cascadia Lifelines Program,CLiP,"[""Coordination Structure""]",Coordination Structure,PNW Regional,Connects stakeholders to improve resilience of critical infrastructure systems.,Program Coordination Team,https://cascadialifelines.org/contact/,"[""PNW Regional""]","[""Program""]",Program,"[""Multi""]",Multi,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Coordination""]",Coordination,"[""Unknown""]",Unknown,https://cascadialifelines.org/,,
Cascadia Region Earthquake Science Center,CRESCENT,"[""Coordination Structure""]",Coordination Structure,PNW Regional,"Supports coordinated earthquake science research and data integration across the Cascadia region.

Review flag: yes

Review note: Recognized acronym CRESCENT used; classification as research coordination hub.",,,"[""PNW Regional""]","[""Hub""]",Hub,"[""Multi""]",Multi,"[""Earthquake Science""]",Earthquake Science,"[""Knowledge Provider"", ""Data Tools Provider""]",Knowledge Provider,"[""Unknown""]",Unknown,https://cascadiaquakes.org/,yes,Recognized acronym CRESCENT used; classification as research coordination hub.
Cascadia Region Earthquake Workgroup,CREW,"[""Coordination Structure""]",Coordination Structure,PNW Regional,Connects partners and advances research relevant to hazards and resilience.,,,"[""PNW Regional""]","[""Hub""]",Hub,"[""Multi""]",Multi,"[""Earthquake Science""]",Earthquake Science,"[""Coordination""]",Coordination,"[""Unknown""]",Unknown,https://crew.org/,,
Center for Land Surface Hazards,CLaSH,"[""Coordination Structure""]",Coordination Structure,U.S. National,Coordinates research on how Earth-surface processes generate cascading hazards across landscapes.,,contact@geoclash.org,"[""U.S. National""]","[""Hub""]",Hub,"[""Multi""]",Multi,"[""Earthquake Science""]",Earthquake Science,"[""Knowledge Provider"", ""Data Tools Provider""]",Knowledge Provider,"[""Unknown""]",Unknown,https://www.geoclash.org/,,
Central Lincoln People's Utility District,CLPUD,"[""Quasi Governmental""]",Quasi Governmental,Oregon,Provides electricity services critical to community resilience and recovery.,Customer Service / Operations,https://www.clpud.org/contact-us/,"[""Oregon""]","[""Organization""]",Organization,"[""Local""]",Local,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Infrastructure Operator""]",Infrastructure Operator,"[""Energy"", ""Water Systems""]",Energy,https://www.clpud.org/,,
Cher-Ae Heights Indian Community of the Trinidad Rancheria,TrinidadRan,"[""Tribal Sovereign""]",Tribal Sovereign,California,Leads community-based emergency preparedness and resilience initiatives.,Tribal Emergency Management / Administration,https://trinidadrancheria.com/contact/,"[""California""]","[""Organization""]",Organization,"[""Sovereign""]",Sovereign,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Unknown""]",Unknown,https://trinidadrancheria.com/,,
City of Bainbridge Island,Bainbridge,"[""Government""]",Government,Washington,"Provides local emergency preparedness, response, and recovery coordination.",Emergency Management Office,https://www.bainbridgewa.gov/Directory.aspx?did=31,"[""Washington""]","[""Organization""]",Organization,"[""Local""]",Local,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Unknown""]",Unknown,https://www.bainbridgewa.gov/,,
City of Eugene,Eugene,"[""Government""]",Government,Oregon,Coordinates city-level emergency planning and disaster response.,Emergency Management Program,https://www.eugene-or.gov/Directory.aspx?did=45,"[""Oregon""]","[""Organization""]",Organization,"[""Local""]",Local,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Unknown""]",Unknown,https://www.eugene-or.gov/,,
City of Lincoln City,LincolnCity,"[""Government""]",Government,Oregon,Supports local emergency preparedness and hazard response coordination.,Emergency Preparedness Program,https://www.lincolncity.org/contact,"[""Oregon""]","[""Organization""]",Organization,"[""Local""]",Local,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Unknown""]",Unknown,https://www.lincolncity.org/,,
City of Portland Environmental Services,PortlandEnv,"[""Government""]",Government,Oregon,Manages wastewater and stormwater systems critical to public health and resilience.,Environmental Services Bureau,https://www.portland.gov/bes/contact,"[""Oregon""]","[""Organization""]",Organization,"[""Local""]",Local,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Infrastructure Operator""]",Infrastructure Operator,"[""Water Systems""]",Water Systems,https://www.portland.gov/bes,,
City of Portland Public Works,PortlandPW,"[""Government""]",Government,Oregon,Maintains city infrastructure including roads and supports post-disaster recovery.,Public Works Bureau,https://www.portland.gov/public-works/contact,"[""Oregon""]","[""Organization""]",Organization,"[""Local""]",Local,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Infrastructure Operator""]",Infrastructure Operator,"[""Transportation""]",Transportation,https://www.portland.gov/public-works,,
City of Seaside,Seaside,"[""Government""]",Government,Oregon,Leads local emergency preparedness and tsunami response planning.,Emergency Management / City Administration,https://www.cityofseaside.us/contact,"[""Oregon""]","[""Organization""]",Organization,"[""Local""]",Local,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Unknown""]",Unknown,https://www.cityofseaside.us/,,
City of Vancouver,VancouverWA,"[""Government""]",Government,Washington,Coordinates local emergency management and disaster response services.,Emergency Management Office,https://www.cityofvancouver.us/contact-us,"[""Washington""]","[""Organization""]",Organization,"[""Local""]",Local,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Unknown""]",Unknown,https://www.cityofvancouver.us/,,
Clackamas County Disaster Management,ClackamasEM,"[""Government""]",Government,Oregon,"Supports local emergency management and disaster preparedness functions.

Review flag: yes

Review note: Likely government agency rather than nonprofit; confirm classification.",,,"[""Oregon""]","[""Organization""]",Organization,"[""Local""]",Local,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Unknown""]",Unknown,,yes,Likely government agency rather than nonprofit; confirm classification.
Clark Regional Emergency Services Agency,CRESA,"[""Government""]",Government,Washington,"Provides regional emergency communications and coordination support in Clark County and surrounding jurisdictions.

Review flag: yes

Review note: Intergovernmental regional agency; geographic placement and governance treatment may be revisited.",,https://www.cresa911.org/contact-us,"[""Washington""]","[""Organization""]",Organization,"[""Local""]",Local,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Unknown""]",Unknown,https://www.cresa911.org/,yes,Intergovernmental regional agency; geographic placement and governance treatment may be revisited.
Coastal Hazards Organizational Resilience Team,COHORT,"[""Coordination Structure""]",Coordination Structure,Washington,Connects partners and advances research and data sharing related to coastal hazards and resilience.,,https://wacoastalnetwork.com/cohort/,"[""Washington""]","[""Hub""]",Hub,"[""Multi""]",Multi,"[""Earthquake Science""]",Earthquake Science,"[""Coordination"", ""Data Tools Provider""]",Coordination,"[""Unknown""]",Unknown,https://wacoastalnetwork.com/cohort/,,
Colorado School of Mines,CSM,"[""Academic""]",Academic,U.S. National,"Contributes research, teaching, or technical expertise relevant to earthquake hazards and resilience.",,,"[""U.S. National""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Earthquake Science""]",Earthquake Science,"[""Knowledge Provider""]",Knowledge Provider,"[""Unknown""]",Unknown,https://www.mines.edu/,,
Colorado State University,COStateU,"[""Academic""]",Academic,U.S. National,"Contributes research, teaching, or technical expertise relevant to earthquake hazards and resilience.",,,"[""U.S. National""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Earthquake Science""]",Earthquake Science,"[""Knowledge Provider""]",Knowledge Provider,"[""Unknown""]",Unknown,https://www.colostate.edu/,,
Columbia Pacific Bio-refinery (Global Clatskanie),CPBR,"[""Private Sector""]",Private Sector,PNW Regional,"Operates industrial infrastructure that may be relevant to regional resilience and hazard impacts.

Review flag: yes

Review note: Private industrial facility; classification refined from nonprofit.",,,"[""PNW Regional""]","[""Organization""]",Organization,"[""Private""]",Private,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Unknown""]",Unknown,"[""Unknown""]",Unknown,,yes,Private industrial facility; classification refined from nonprofit.
Community Emergency Response Teams,CERT,"[""Coordination Structure""]",Coordination Structure,U.S. National,"Coordinates community-level preparedness and response training programs implemented by local jurisdictions.

Review flag: yes

Review note: Program model replicated across jurisdictions rather than a single organization or hub.",,https://community.fema.gov/PreparednessCommunity/s/contact-us,"[""U.S. National""]","[""Program""]",Program,"[""Multi""]",Multi,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Unknown""]",Unknown,https://community.fema.gov/PreparednessCommunity/s/welcome-to-cert,yes,Program model replicated across jurisdictions rather than a single organization or hub.
Confederated Tribes and Bands of the Yakama Nation,Yakama,"[""Tribal Sovereign""]",Tribal Sovereign,U.S. National,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,https://yakama.com/contact/,"[""U.S. National""]","[""Organization""]",Organization,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Unknown""]",Unknown,"[""Unknown""]",Unknown,https://yakama.com/,,
Confederated Tribes of Grand Ronde,GrandRonde,"[""Tribal Sovereign""]",Tribal Sovereign,U.S. National,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,https://www.grandronde.org/contact/,"[""U.S. National""]","[""Organization""]",Organization,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Unknown""]",Unknown,"[""Unknown""]",Unknown,https://www.grandronde.org/,,
Confederated Tribes of Siletz Indians,Siletz,"[""Tribal Sovereign""]",Tribal Sovereign,U.S. National,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,https://ctsi.nsn.us/contact-us/,"[""U.S. National""]","[""Organization""]",Organization,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Unknown""]",Unknown,"[""Unknown""]",Unknown,https://ctsi.nsn.us/,,
Confederated Tribes of the Chehalis Reservation,Chehalis,"[""Tribal Sovereign""]",Tribal Sovereign,U.S. National,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,https://chehalistribe.org/contact/,"[""U.S. National""]","[""Organization""]",Organization,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Unknown""]",Unknown,"[""Unknown""]",Unknown,https://chehalistribe.org/,,
"Confederated Tribes of the Coos, Lower Umpqua, and Siuslaw",CTCLUSI,"[""Tribal Sovereign""]",Tribal Sovereign,U.S. National,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,https://ctclusi.org/contact/,"[""U.S. National""]","[""Organization""]",Organization,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Unknown""]",Unknown,"[""Unknown""]",Unknown,https://ctclusi.org/,,
Consejo Hispano,ConsejoHisp,"[""Nonprofit Community""]",Nonprofit Community,U.S. National,"Supports community resilience through coordination, advocacy, technical guidance, or direct services.",,,"[""U.S. National""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Community Resilience""]",Community Resilience,"[""Unknown""]",Unknown,"[""Unknown""]",Unknown,,,
"Cooperative Institute for Climate, Ocean and Ecosystem Studies",CICOES,"[""Academic""]",Academic,U.S. National,"Contributes research and technical expertise relevant to coastal hazards, ocean systems, and resilience.",,,"[""U.S. National""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Earthquake Science""]",Earthquake Science,"[""Knowledge Provider""]",Knowledge Provider,"[""Unknown""]",Unknown,,,
"Coos County Sheriff's Office, Office of Emergency Management",CoosEM,"[""Government""]",Government,Oregon,"Coordinates county-level emergency preparedness, response, and recovery functions.",,,"[""Oregon""]","[""Organization""]",Organization,"[""Local""]",Local,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Safety Security""]",Safety Security,,,
Coquille Indian Tribe,Coquille,"[""Tribal Sovereign""]",Tribal Sovereign,Oregon,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,,"[""Oregon""]","[""Organization""]",Organization,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Unknown""]",Unknown,"[""Unknown""]",Unknown,,,
Cow Creek Band of Umpqua Tribe of Indians,CowCreek,"[""Tribal Sovereign""]",Tribal Sovereign,Oregon,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,,"[""Oregon""]","[""Organization""]",Organization,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Unknown""]",Unknown,"[""Unknown""]",Unknown,,,
Cowlitz Indian Tribe,Cowlitz,"[""Tribal Sovereign""]",Tribal Sovereign,Washington,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,,"[""Washington""]","[""Organization""]",Organization,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Unknown""]",Unknown,"[""Unknown""]",Unknown,,,
Early Warning Labs,EWLabs,"[""Private Sector""]",Private Sector,U.S. National,Provides earthquake early warning technology and related alerting tools.,,,"[""U.S. National""]","[""Organization""]",Organization,"[""Private""]",Private,"[""Earthquake Science""]",Earthquake Science,"[""Data Tools Provider"", ""Messaging Alerts Provider""]",Data Tools Provider,"[""Communications""]",Communications,...,,
Earthquake Country Alliance,ECA,"[""Coordination Structure""]",Coordination Structure,U.S. National,Connects partners and advances public-facing earthquake preparedness and resilience efforts.,,,"[""U.S. National""]","[""Hub""]",Hub,"[""Multi""]",Multi,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Unknown""]",Unknown,,,
Earthquake Engineering Research Institute,EERI,"[""Nonprofit Community""]",Nonprofit Community,U.S. National,"Connects researchers and practitioners to advance earthquake engineering, policy, and resilience practice.",,,"[""U.S. National""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Earthquake Science""]",Earthquake Science,"[""Knowledge Provider"", ""Coordination""]",Knowledge Provider,"[""Unknown""]",Unknown,,,
Earthquake Safety Committee,ESC,"[""Nonprofit Community""]",Nonprofit Community,U.S. National,"Supports community resilience through coordination, advocacy, technical guidance, or direct services.

Review flag: yes

Review note: Name is too generic; likely requires normalization to a specific committee.",,,"[""U.S. National""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Earthquake Science""]",Earthquake Science,"[""Unknown""]",Unknown,"[""Unknown""]",Unknown,,yes,Name is too generic; likely requires normalization to a specific committee.
EarthScope,EarthScope,"[""Coordination Structure""]",Coordination Structure,U.S. National,"Provides national-scale geophysical instrumentation, data systems, and coordination supporting earthquake and Earth system science.

Review flag: yes

Review note: Functions as a national research infrastructure program/consortium rather than a standalone nonprofit organization.",,https://www.earthscope.org/contact/,"[""U.S. National""]","[""Program""]",Program,"[""Multi""]",Multi,"[""Earthquake Science""]",Earthquake Science,"[""Knowledge Provider"", ""Data Tools Provider""]",Knowledge Provider,"[""Unknown""]",Unknown,https://www.earthscope.org/,yes,Functions as a national research infrastructure program/consortium rather than a standalone nonprofit organization.
Edison Electric Institute,EEI,"[""Private Sector""]",Private Sector,U.S. National,"Supports electric utility coordination, policy, and knowledge sharing relevant to resilience.",,,"[""U.S. National""]","[""Organization""]",Organization,"[""Private""]",Private,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Coordination"", ""Knowledge Provider""]",Coordination,"[""Energy""]",Energy,,,
